userName,content,score,at,appVersion
Ralfiando N. Palit,"aku dari dulu suka pake Indosat karna murah meskipun jaringan nya lemot, tpi sekarang Udah jaringan lemot mahal pula mending telkom mahal tpi jaringan bagus",1,2024-01-29 10:49:07,82.0.5
taman ornamen,best,5,2024-01-29 10:48:30,82.0.5
beni ben,saya ingin kota geratis,5,2024-01-29 10:48:25,82.0.5
Rusdi Saputra,Selma ini aku pake Indosat tdk ada masalah,5,2024-01-29 10:46:19,82.0.2
ricky F,"jaringan nya bagus banget , sampai merah di mana""",2,2024-01-29 10:43:20,81.16.0
Erik Nurdiansah,"Jaringan nya makin gajelas lelet, plis lah perbaiki",4,2024-01-29 10:41:03,
Tarmin,"Wahai para pengguna setia IM3 downloadlah apk myIM3 sangat berguna sekali dan ada bonus bonusnya paket data....ayo gunakanlah karena untuk mempermudah cek pulsa,cek data, beli paket data dll. myIM3....YESSSSS👍👍",5,2024-01-29 10:40:39,82.0.5
Ahmad Firdy,Lagggggggg,1,2024-01-29 10:38:34,81.16.0
Jaja arjuna,tolol,1,2024-01-29 10:36:00,82.0.5
Andar Supriadi,"Di update terbaru malah tampilanya membagongkan, gak kaya tampilan dulu lebih memudahkan dan di pahami.",3,2024-01-29 10:31:08,82.0.5
Andi Mulyani,recomended bgt,5,2024-01-29 10:24:45,82.0.5
Chui official,Semakin kesini jaringan down terus indosat padahal kan quota msh ada tolong diperbaiki kualitas jaringan bikin kecewa. kartu 3 sama indosat sama semua.,1,2024-01-29 10:24:22,
Rasa Wulan,gak bisa poin ditukar,1,2024-01-29 10:22:15,81.16.0
Gunung Rhoma,dial cek pulsa error 🙏 mohon diperbaiki... terimakasih sebelumnya.....,3,2024-01-29 10:21:32,
Putri Alida,Sangat baik,5,2024-01-29 10:17:26,
Nasrulloh,mantap,1,2024-01-29 10:03:26,82.0.5
Ammar P,"ya , klo bisa lebih murah lagi lah paketnya , pilihannya juga kurang banyak",5,2024-01-29 09:58:46,82.0.4
Wiwik Widuri,aplikasi yg sangat mudah digunakan dan banyak promo disaat tgl tua,5,2024-01-29 09:55:41,81.16.0
Azka Bastian,"Kalau bisa ga pake bintang gua kosongin dah, makin sini makin parah jaringan nya, ganggu pekerjaan, cuma tau harga ga ada kualitas parah...",1,2024-01-29 09:45:24,
Rizal Komandan,Sudah tidak karuan Im3 sekarang. . Paketdatanya sangat mahal.. saatnya pindah ke telkomsel.,1,2024-01-29 09:43:22,
Leticia Sigarlaki,lee jeno,5,2024-01-29 09:38:40,82.0.5
Rfli Tb,"Jaringan hilang mulu di tempat saya, tolong lah perbaiki jaringannya",1,2024-01-29 09:37:24,82.0.2
Sarma Dani,kerennnnn,5,2024-01-29 09:36:26,82.0.5
Kina Aja,sangat memusakan,5,2024-01-29 09:34:29,82.0.4
Agus Gunawan,Ko aneh My Im3 punya saya lebih mahal di bandingkan punya teman kouta nya aneh bin ajaib di situlah saya males pake indosat th.,1,2024-01-29 09:31:51,
Reza ardiyansah Ardiyansah,antap,5,2024-01-29 09:30:13,
Zimxz Editz,maaf karena saya memberikan rating cuman 2 jujur saya sangat kecewa karena saya bermain panjat Kouta tidak dapat² pedahal sudah bermain lebih dari 300 kali putar tapi tidak dapat juga tolong di perbaiki,2,2024-01-29 09:26:06,
Ami Maryami,Daftar doang kudu pake pulsa kecewa m3 makin anehh gak jelas ini,1,2024-01-29 09:24:23,82.0.4
Aryasatya Bramantyo Darmawan,"Sinyal burik,bapuk.Kuota belum waktunya habis,udah di bikin buffering.Provider dzalim,suka ngambilin sisa kuota customer.Payah.Ganti vendor bukannya jadi lebih baik malah makin bapuk.",1,2024-01-29 09:19:35,81.16.0
Jhonson Sinaga,"Sangat baik. Pulsa Tiba tiba habis. Alasannya waktu beli paket datanya aktif, padahal sebelumnya masih ada sisa data. Itu pun kalau mau komplain harus nunggu satu jam, dan tidak ada hasil. Makasih... Dan bantuan wa official gak membantu, nambah buat emosi",1,2024-01-29 09:17:29,82.0.2
Paisal Hartono,kurang puas,1,2024-01-29 09:16:55,82.0.5
Lucky Kyy,sipl,5,2024-01-29 09:11:27,
Rendi Prastio,HP leg,5,2024-01-29 09:09:32,82.0.2
Alfat Fahrezi,bagus indosat indonesia,5,2024-01-29 09:01:58,82.0.5
Ayu Lestari,Oke bgt,5,2024-01-29 09:01:22,82.0.5
irgi mandagi,sangat puas,5,2024-01-29 08:53:13,82.0.5
Ferdi Adityaferando,sangat baguss dan bisa mem bantu kita,5,2024-01-29 08:51:37,81.15.0
Santoso Aja,terbaki,5,2024-01-29 08:51:31,82.0.2
Dani Putra,sinyal jelek harga paket mahal masa harga paket ningkat kualitas sinyal masi jelek,1,2024-01-29 08:45:49,81.16.0
Diki Darmawan,makasi,4,2024-01-29 08:34:34,82.0.5
Elsaoktaviana Elsa,sy sangat puas pakai kartu m3,5,2024-01-29 08:27:32,
Hendro aj (H3ndr0),"Dengan pakai im3,beli pulsa dan cek data jadi lebih mudah",5,2024-01-29 08:26:23,82.0.5
Golden Boy,Dalam 1 hari 2 kali hilang data sinyal.. Semakin kesini semakin sering Indosat gangguan sinyal .!!,1,2024-01-29 08:26:04,81.6.0
Diky Aja,baik,5,2024-01-29 08:21:04,82.0.5
Irfan Aldandy,jaringan lo burik banget woi,1,2024-01-29 08:17:05,
Thon Badawi,Okeh mantap,5,2024-01-29 08:15:35,81.16.0
Maman Sukirman,makasih,5,2024-01-29 08:10:35,82.0.5
Nuril Mazidah,"puas pake im3, paket data terbilang lumayan murah, sinyal juga oke",5,2024-01-29 08:07:15,82.0.2
Wirda Siregar,Deskripsi,5,2024-01-29 08:03:18,
Muhadam Lapadi,promo nya pada mahal,5,2024-01-29 08:00:25,82.0.3
Asmawi Asmawi,ok,5,2024-01-29 07:55:29,82.0.5
Hamba Allah,antapp,1,2024-01-29 07:55:03,81.16.0
Zaini Tundoon,jrngan ny gk dukung bngt dri dlu,1,2024-01-29 07:53:26,82.0.2
Arya Kusuma,baguus,5,2024-01-29 07:52:33,82.0.5
oscar Rosano,"murah kuota dan kapasitasnya pokoknya merakyat,perluas dong jaringan BTS nya",4,2024-01-29 07:52:11,82.0.5
Animers,"Lu kalau nagsih sinyal tu yang bener woiii, gua dah ngeluarin duit buat beli kuota lu tapi lu malah ngasih sinyal macam taii, benerin sinyal lu taii",1,2024-01-29 07:49:07,81.14.2
Nur Aida,woww,5,2024-01-29 07:49:04,82.0.4
Magdalena Selvi,baik...menggunakan im3,5,2024-01-29 07:40:38,82.0.3
Petot Bgt,bangke lah pulsa kepotong gak jelas gak ada notif apa2 .. pulsa safe ?? tttaaaiii,1,2024-01-29 07:34:31,82.0.3
Nurholis Jawa,sangat memuaskan,5,2024-01-29 07:30:40,81.16.0
Mansvins 1508 II,"Sorry bintang 1, kurang nyaman sinyal tiba"" ilang muncul lgi, ilang tanpa alasan yang jelas, klo bisa kasih kejelasan min",1,2024-01-29 07:21:36,
Moch Nifar Bilqist N,"Kenapa sih suka tiba tiba lag parah padahal bagus awalnya,jadi semakin kesal sama myIM3 kenapa bisa gitu sih!!!",1,2024-01-29 07:20:28,82.0.4
Syariful Anwar,Kartu tolol jaringan lag mulu,1,2024-01-29 07:17:17,82.0.2
M. Alfin Syahril amri,bagus,5,2024-01-29 07:15:31,82.0.5
Abdullah Fakih,Ok Knnj,5,2024-01-29 07:09:30,
Graceful Jr Sasamu,Wow Keren,5,2024-01-29 07:06:58,82.0.5
Zaki Elba,ini gimana kok trouble teruss yang parah malah gabisa.beli kuota padahal aku pengguna Indosat udah tiga tahun yaampunnnn mohon di perbaiki,2,2024-01-29 07:04:13,
Raditya Radit,sinyal jeleg,1,2024-01-29 06:57:57,82.0.5
Kevin adhitya,"Aplikasi jelek dikit dikit kalo isi pulsa selalu hangus terus situ kirim pesan sini pulsa hangus jem*ut emng,🤢",2,2024-01-29 06:52:14,82.0.5
Rafa Jekeh,pulsa gw juga ilang 23ribu lagi hadeh,1,2024-01-29 06:40:50,82.0.5
Iwan Pratama,"kenapa setiap ada pulsa tiba2 hilang 1000 tiap hari , ngambilnya dikit2 udah kaya tuyul .",1,2024-01-29 06:36:49,80.6.0
Faris Alfarisi,"jelek banget jaringan ,kuota 100gb rugi dong 🖕",2,2024-01-29 06:34:59,82.0.2
Farid Yao Chen,"Aku Tidak bahas Aplikasinya ya, tapi bahas kendala. 1. Kesedotnya pulsa saat tidak dipakai, baru saja isi pulsa tiba-tiba pulsa kesedot padahal tidak aktifkan data seluler maupun nelpon & sms 2. Jaringan kurang cepat, kecepatan internet mentok 10mbps kadang 24mbps 3. Ketika Hujan Sinyal tiba-tiba down 4. Tidak adanya Bonus Kuota, ga seperti Axis & XL 5. Kuota Mahal Sinyal Ampes 6. Saat main game online sinyal bagus awalnya tiba-tiba Disconek sebentar terus bagus lagi memang dari sono apagimana?",1,2024-01-29 06:26:21,
Ahmad Ar,ok,4,2024-01-29 06:23:18,82.0.5
A5aswad Anwar,Apkny bgs.....,5,2024-01-29 06:20:43,82.0.4
Baam Lan putra,bagus tolol yg gak donlot,5,2024-01-29 06:18:18,
m. rohim nyell,"Terimakasih atas layanannya yang sangat buruk, kali ini saya tidak akan mengunakan myIM3 samapai kapan pun Di sebabkan pulsa saya masih ada 10.000rp hilang seketika padahal saya tidak beli paketan dan saat itu saya masih punya paketan dan saat saya lihat paketan nya ada sih tapi cuma buat berapa jam trs paketannya hilang dang berubah menjadi paketan yang lama good myIM3 atas pelayanannya yang sangan buruk. Jadi temen-temen Jagan pernah pakek myIM3 lagi",1,2024-01-29 06:16:38,82.0.5
rudi ikhwanto,👍,4,2024-01-29 06:12:48,82.0.4
Mochamad Asqolani,yang kecewa bukan cuma gw tapi banyak orang yang kecewa .perbaiki performa nya darinpada kehilangan banyak pengguna akirnya bangkrut beneran sory ini hanya sebuah masukan .data gw gak keluar,1,2024-01-29 06:06:30,82.0.5
Erwan Fahmi,Jaringan sangat buruk,1,2024-01-29 06:01:19,82.0.5
Ramdn,sinyal lemot,1,2024-01-29 05:59:34,81.16.0
Jonhson Yocom,Nga bisa beli paket dari tadi cuma di proses mulu sama beli pulsa 150 yg keisi 149,1,2024-01-29 05:53:34,82.0.5
M Subandi,mempermudah,5,2024-01-29 05:51:32,82.0.5
Dimz Tyz,agak lemot kalo mau masuk ini harus tunggu beberapa menit tapi gapapa apinya bagus,3,2024-01-29 05:46:11,82.0.5
Zaelani Yusuf,ok,5,2024-01-29 05:46:10,82.0.5
Alvirza Virza,keren,5,2024-01-29 05:43:02,82.0.5
FICO Realnojual2,Isi pulsa 10.000 tapi malah kesedot jadi 7500 gimana sih,1,2024-01-29 05:29:27,
Sandy Firmansyahh,kuota,5,2024-01-29 05:29:15,82.0.5
Christian.G. Nahampun,sangat menyenangkan,5,2024-01-29 05:25:14,82.0.5
Sandry Suhandi,mantap,5,2024-01-29 05:25:13,81.12.1
robi Saputra,good,5,2024-01-29 05:24:15,82.0.5
Zan Rumetor,semoga jaringan di sulut di perluas,5,2024-01-29 05:06:11,81.16.0
Calam Akbar,terimakasih,5,2024-01-29 05:04:25,
Wahyu Putra,👍,5,2024-01-29 05:02:07,82.0.5
ze e,saya beli paketan 15 ribu 6gb 1 bulan tapi kok yang masuk cuman 3gb gimana nih nyesel saya pake kartu myim3,1,2024-01-29 04:56:58,
Iwan Sach,promonya di perbanyak yahh,4,2024-01-29 04:52:44,82.0.4
Alghi fari,Saya sangat terganggu dengan pulsa darurat nya yang nyedot pulsa smpe hbis padahal di cek udah gk ad lagi tagihan pulsanya nih udah yg kdua kali nya ngisi pulsa malah hbis trus tolong yh buat M3 untuk diperbaiki lagi mna duit sekarat eh tau nya ilang lagi pulsa nya 😤 intinya stop M3 dh 🤬,1,2024-01-29 04:42:24,
Bayu Saputra,mantap,5,2024-01-29 04:41:27,82.0.5
Zafar Mouza,sangat bgus tp sayang knp sinyal di Jawa Tengah agak susah,5,2024-01-29 04:38:45,82.0.5
Rendy alakbar,bgus,5,2024-01-29 04:38:45,82.0.4
lepi dinata,tolong,5,2024-01-29 04:37:22,82.0.2
Siti Aisah,oke,5,2024-01-29 04:35:49,82.0.5
Pasik Pasik,ngelek banget anj,1,2024-01-29 04:34:31,82.0.3
Iwan Iwan,baguss,5,2024-01-29 04:33:10,82.0.5
Sriayu Rahayu,mantap,1,2024-01-29 04:32:02,82.0.5
M. IRHAM,"ngak ada kata""",5,2024-01-29 04:31:40,81.16.0
Riska Wati,sangat memuaskan,5,2024-01-29 04:29:35,82.0.5
Putrififilia Anggraini,terlalu mahal harga kuotanya,2,2024-01-29 04:27:19,82.0.2
MLCT GANTENG,💧🤢,5,2024-01-29 04:23:18,
Rida Utami,"practise, ekonomis",5,2024-01-29 04:22:43,82.0.5
Adzkia Davina,Wajib ganti provider sinyal nya akhir akhir ini gk bagus,1,2024-01-29 04:20:39,
Biahmad Alawi Ash-Shiddiqi bia,Sangat berguna,1,2024-01-29 04:16:34,80.0.3
Diding phiningit,Saya rkyat ekonomi bawah.dulu masih ke jangkaw beli paketan m3.skrng sya mending ganti kartu 3 aja murah mriah..indosat smakin mahal bangt kuota nya pun smakin boros bngt cpet abis..sya rkyat Ekonomi bawah pasti nyari yg murah..,1,2024-01-29 04:16:09,82.0.3
Resky andrean,"Kenapa kalau setiap cuaca gerimis atau hujan sebentar saja, atau lama pasti sinyal internet nya terganggu ? Itu saja yg ingin saya tau jawaban dari anda 🙏",5,2024-01-29 04:13:48,81.12.0
Siti Saripah,good,5,2024-01-29 04:13:30,82.0.5
Raffi Arisandi,bagus,5,2024-01-29 04:08:11,82.0.5
echika ulfiatun najwah,sinyal di tempatq sangat buruk.sering hilang sinyal alias toubel.apagi kalo hujan di jamin makin trobel.....🙏😭,1,2024-01-29 03:47:23,
Dodi gusnadi,sinyal gaje mending xl,1,2024-01-29 03:45:01,
Desty Ratu,"Kenapa sih harus mahal mahal kak,kenapa yang favorit harus hilang",1,2024-01-29 03:39:32,82.0.5
Asrofi Romli,sangat puas,5,2024-01-29 03:34:53,82.0.5
Sunardi Sunardi,perlu di tingkatkan biar semakin mantap,5,2024-01-29 03:33:23,82.0.4
Novri Af,biar bintang yg brbicara,5,2024-01-29 03:24:50,82.0.5
satria sagara,"Alhamdulillah Kembali bagus lg pertahankan, terimakasih",4,2024-01-29 03:17:36,82.0.5
Nazril Aril,bagus,5,2024-01-29 03:16:49,82.0.5
Pincak Cok,pulsa sering kepotong mana jaringan nyaa sering hilang gajelas bet,1,2024-01-29 03:02:54,82.0.2
Ika I,Kecewa aku pakai IM3 Baru ngisi paket internet 1 bulan Besoknya hilang sinyal sampai 3 hari. Sinyal sudah ada tapi internet nya udah gak bisa di pake lagi.,1,2024-01-29 03:02:42,81.3.0
Muh Zauj,"Sinyal ilang"" Mulu lama"" Males pakek m3",1,2024-01-29 02:58:00,
Sopiyan Di,bagus,5,2024-01-29 02:55:57,82.0.5
Syam Bahrie,tolong di perbaiki sinyal di daerah permata hijau..di sapir pemata.. jelek amt klo hbs hujan sinyal mendem,2,2024-01-29 02:52:10,
BONCES -501,good,3,2024-01-29 02:51:40,82.0.5
Mamah Noe noe,good jobs,5,2024-01-29 02:49:00,81.16.0
Yadi Putra,Gimana sih ini jarugan full paket banyak koo ngeleg nga karuan niat bikin jaringan nga sih 🤬,2,2024-01-29 02:48:23,
Wiwin Kusniati,Sekarang Indosat makin ga jelas,1,2024-01-29 02:43:41,82.0.2
Its Hernitaa,ok,4,2024-01-29 02:37:53,81.16.0
GINTARTO DWI,bagus,5,2024-01-29 02:36:58,
Alfat Novansyah,"Harga naik terus, jaringan makin ampas",1,2024-01-29 02:31:48,81.16.0
Taran Saputra,CSnya buruk bgt yg Indira. Malah seharian ilang jaringannya lagi,1,2024-01-29 02:25:47,
Roasih,mantap,5,2024-01-29 02:24:27,82.0.5
Rudi Ardiansyah,gajelas banget buat yang lain lancar giliran maen game langsung jumping,1,2024-01-29 02:12:00,82.0.2
Memet 123,ok,5,2024-01-29 02:11:02,82.0.5
Udin Thambayonkz037,M3 sekarang kek taik sinyalnya tiba² mati dendiri sinyalnya hadeh payah,1,2024-01-29 02:05:30,
Sulistiyani Indah,sangat puas,5,2024-01-29 02:02:55,82.0.2
FATHAH ABDILLAH,"Tolong kak ada kendala nih, saya belum pernah sama sekali merasakan jaringan dan sinyal Indosat Ooredoo Hutchison untuk di daerah saya belum masuk baru ada Telkomsel, padahal daerah saya sudah jadi kecamatan Bathin III Ulu kabupaten Bungo Jambi, mohon dibantu kak, segera ditindaklanjuti dan diperbaiki diperluas lagi pelayanan nya, terima kasih.",5,2024-01-29 01:55:15,82.0.5
psl psl,bagus aplikasi ini,5,2024-01-29 01:50:36,82.0.5
Fadil Dil,Ngeleg gangguan benerin dulu,1,2024-01-29 01:48:39,82.0.2
aAl news,"Kecewa sih sama myim3 saya pengguna baru dan sudah 3x isi ulang dan ngambil kuota perbulan tapi reward 2gb yg di janjikan gak bisa di ambil padahal syarat mengambil sudah terpenuhi tapi gak bisa di ambil ya sia²dong,dan kayanya sekarang saya berhenti langganan di myim3 dan memakai kartu yang lain saja benar²mengecewakan",1,2024-01-29 01:47:42,82.0.2
Haikal Lutfi,"Paket data nya semakin hari makin mahal ,",1,2024-01-29 01:45:40,82.0.5
ujungpangkahinterland,The Best,5,2024-01-29 01:44:16,82.0.4
Fauzi Gede,"Mantaps banget dah gara gara kemarin tgl 26 trouble, di kasih 1gb 1hri buat apresiasi, kuota gw hilang padahal masih banyak gara gara kuota yang di kasih masa berlaku nya dah habis",1,2024-01-29 01:31:16,81.16.0
shinbi house,"Cerita nya no yang m3 lain 2, 2 nya selamat anda dapat 1 gb 1 hari, karena kamarin lost sinyal parah, di sms nya jam 4 sore , Kan gue tau nya 1 hari itu 24 jam ketika jam di sms, pas di cek pagi2 , kuota bonus nya gak ada , alias di cek *557*8# nol ( zero ) Kalau loe gak niat ngasih bonus , jangan ngasih sekalian atau jangan ngomong 1 hari jalan tol....., baru 8 jam udah gak ada .",1,2024-01-29 01:28:02,81.6.0
Moeni Btg,kerennnn,1,2024-01-29 01:27:58,82.0.5
Ridha,"buruk. jaringan sering mati sendiri walau tidak ada angin, hujan atau mati lampu.",1,2024-01-29 01:26:05,82.0.5
Brandon Lee,Min kasih kuota gratis lah masa udh lebih dari 1 tahun belum pernah dapet gratisan😓,1,2024-01-29 01:26:00,82.0.5
Afandi,"Di isi pulsa akses internet tidak d gunakan tapi kok tiba² berkurang, udah chatt sama indira tapi ga ada solusinya, tutor biar ga kesedot pulsa",2,2024-01-29 01:14:21,82.0.5
Arif Marwan,usahakan bisa transfer bank,3,2024-01-29 01:08:58,81.16.0
warga santuy,selalu jaringan bermasalah,1,2024-01-29 01:06:54,81.7.0
Mishal Alrapan,Mantap,5,2024-01-29 01:00:36,82.0.3
MR SUNADI,"Sangat kecewa dengan jaringan sering trouble, sinyal sering hilang, padahal udah langganan bertahun2, masih sama, tolong diperbaiki lgi",2,2024-01-29 01:00:30,82.0.3
Dwi Yuliyanto,Sinyal kurang kencang,5,2024-01-29 00:47:48,81.9.0
wawan arya,puas,5,2024-01-29 00:47:30,82.0.5
Atik,Indosat kenapa ya kok lemot mulu ? Mana paketan sebulan 150k. Lama2 lu ngga laku,2,2024-01-29 00:42:34,82.0.4
Akhtar Ibura,ok,5,2024-01-29 00:41:08,82.0.5
vini adeliana,"Udah 1 kali 24 jam gak bisa buka ig, gak bisa balas wa, lumpuh total . Harga paket mahal, jaringan astagfirullah 👎👎👎👎 Saya tambah lagi keluahan saya, 2 hari yang lalu sempat down lagi jaringannya, di dm twitter lama balas. Hari ini dari semalan down lagi untuk ketiga kalinya, bener² gak memperbaiki kesalahan, saya gak bisa ngapa² in 👎👎👎👎👎",1,2024-01-29 00:40:20,82.0.2
Se Anugrah,mantap,5,2024-01-29 00:39:02,82.0.5
Christian Andreanto,mantap,5,2024-01-29 00:30:43,82.0.5
Rama Dani,mantap jaringan Nya,5,2024-01-29 00:28:45,82.0.5
Lesmana Hendra,puas banget,5,2024-01-29 00:28:10,82.0.5
Akhmad Syafrudin,i like it,5,2024-01-29 00:18:59,82.0.5
Aziiss Official,"Game panjat Kouta sampah,terang2an menipu gabisa menang sama sekali!!!",1,2024-01-29 00:14:10,82.0.4
maskhurun wijaya,kenapa semakin hari semakin mahal aja paket datanya? program hot promonya juga hilang!,3,2024-01-29 00:04:44,82.0.2
Riyansifu,keren,5,2024-01-28 23:49:03,81.16.0
Febrian batubara Batubara,Sudah oke👍,5,2024-01-28 23:43:10,80.4.0
Dwi Rizky r,sangat membantu,5,2024-01-28 23:42:09,82.0.5
Oppah Ramadhan syt,jd mudah liat kuota internet,4,2024-01-28 23:36:48,82.0.5
Tabitha Maulida Khairun Muntasza,"Setiap pembelian paket dari myIM3 selalu lama diprosesnya kadang bisa sampe sehari penuh, dijaman sekarang harusnya semua hal harusnya serba cepat.. agak laen myIM3 ini",2,2024-01-28 23:31:29,82.0.5
Labock Gombes26,sangat puas,5,2024-01-28 23:31:20,82.0.5
Farzz,"Aplikasi gk ada 🧠, di iklan nya buagus bet dialog nya ""SINYAL LANCAR"" 🤮, sinyal burik, boros, harga mahal 🤢🤢. Untung kaga buntung iya",1,2024-01-28 23:29:16,82.0.5
NABIL MARVEL Yt,"Kecewa sama Im3 karena katanya mau ngasih kuota gratis setelah update scam, mana ada kuota gratis php mulu, lagian katanya kuota 1GB udah kekirim, tapi manaa!?!?!?",1,2024-01-28 23:28:46,82.0.2
Dhimas Cakra,"Tambakan fitur jaga pulsa seperti di Telkomsel. Karena sering menyedot pulsa saat kehabisan kuota, bahkan saat pemberitahuan habih kuota belum masuk.",1,2024-01-28 23:27:32,
Gilang Saputra,Kouta mahal SIGNAL SULIT !! MAKIN KESINI MAKIN GA NYAMAN PAKE INDOSAT SINYAL LELET,4,2024-01-28 23:27:25,82.0.2
Ahmad Dani,Di pesan dapat 1gb karna ada kendala tapi kok gak masuk,2,2024-01-28 23:22:32,
rubini cicik,Tidak bisa diinstall,1,2024-01-28 22:38:50,82.0.5
Maula Syifa,"Pliiiisss kenapa sih IM3 tuh kalo kuota abis suka gak ada notif, tau tau pulsa jebol aja nangis bgt mana kejadiannya keulang teruss😭😭😭",1,2024-01-28 22:36:51,80.8.4
Muhammad Al-Farezel,"kuota saya ada 1gb,lalu saya gunakan kemarin itu hanya 500mb,trus pas saya cek kok kuota saya habis?",2,2024-01-28 22:31:07,82.0.4
Agus Ananto,sementara ini saya puas banget tapi kalo bisa pas mati lampu jaringan jangan sampai hilang oke,5,2024-01-28 21:47:12,82.0.5
azri faudzan al azhari,good,5,2024-01-28 21:35:20,81.16.0
ALKENZO ALKENZO,saya suka dengan aplikasi ini,5,2024-01-28 21:18:31,82.0.2
Rudianto Rudi,ok,5,2024-01-28 21:03:25,82.0.5
Yunus,bagus,5,2024-01-28 20:52:15,82.0.5
Kapten bucin,makasih,5,2024-01-28 20:48:31,81.13.0
Jodi Putra,"Parah setiap hari ada aja sinyal drop, makin kesini makin jelek aneh, di pake liat yt aja loading terus perbaiki lah, lama lama ganti provider kalo gini terus",1,2024-01-28 20:17:14,82.0.2
KP - ERNI RUSMIATI,"paket doang mahal , Jaringan kaya kaya 2G aneh , padahal di jakarta full 4g Gausah pake kartu indosat bray , Mahal doang speed buruk",1,2024-01-28 20:11:21,82.0.5
Dante Adrian,DI KALBAR DARI DULU HINGGA SEKARANG SIGNAL DAN INTRNET NYA 👍👍👍💪,5,2024-01-28 20:08:19,82.0.5
Ryon Krist,"Jelek.. kuota langsung habis, langsung kepotong pulsa Diisi pulsa mau beli paket hot promo juga icon langsung gaada 😔 jelek",1,2024-01-28 20:07:27,82.0.5
Aulia02,"Wah bener2 aplikasi kurang ajar, paket aku hilang.. padahal baru beli seminggu yg lalu 65GB, tiba2 paket aku hilang aja",1,2024-01-28 20:02:38,82.0.3
Nury,Saya pengguna im3 dan say sangat kecewa laporan pengeluran pulsa tidak ada dan saya baru saja kehilangan pulsa.g jelas siapa yg ambil,1,2024-01-28 20:01:07,
Rival Setia,"Haha hapus aja internetnya gk ada sinyal im3 lumayan murah sihh,masa kalah sama XL-axiata yang harganya murah tp internetnya kenceng. Satu hal lagi, maaf saya sudah meng restart device saya berulangkali dn meng-on off kan data saya,tp hasilnya sama saja,dn saya mau bertanya,pada tahun kemarin itu saya membeli pulsa 25k tp setelah masuk pulsa itu hilang,dn saya mengecek ""apakah saya punya pulsa darurat yg belum dibayar"" nyatanya saya tidak punya dn saya beli paket data pakai pulsa tp gk masuk",1,2024-01-28 19:47:13,
Musrifah Rifah,ok,5,2024-01-28 19:30:14,82.0.5
Ruhyat Aliansyah,Bagus banget,5,2024-01-28 18:43:38,82.0.5
Dera Wati,Ok goods,5,2024-01-28 18:25:39,82.0.4
Suryani Lubis,baik,1,2024-01-28 18:24:51,81.15.0
IKKAJAYA80 tea,Jujur sih aplikasi myim3 ini sangat membantu banget bagi pelanggan setia indosat . semoga terus konsisten dan inovatif kedepanya. Hanya satu yg gk aku suka kalo data habis suka motong pulsa sampe ludes gak kaya provider lain kuota habis pulsa terkunci aman,5,2024-01-28 18:21:00,82.0.2
Iwan Setiawan,"K. Klo bisa ada Paylater,....y",5,2024-01-28 18:02:29,82.0.3
Muhammad Arsyad,Udah mahal lelet💩,1,2024-01-28 18:01:47,82.0.2
cungkring cungkring,Alhamdulillah,3,2024-01-28 18:00:39,82.0.5
Yasin Doang Yasin Doang,M3 pancen Oke👍👍👍,5,2024-01-28 17:44:57,
Kandar Ray90,mantap,5,2024-01-28 17:42:43,81.16.0
irwan budi,3 x kena jebakan reward kuota gratis 1gb. Setelah di klaim malah kuota utama jadi 0.,1,2024-01-28 17:41:04,82.0.5
Ali MSTOFA,Puas,3,2024-01-28 17:29:59,
Ratu Aprilia,"kenapa sih Lola banget sumpah, mana kontak nya udh terdaftar di akun lain bikin kesel aja males ganti nomor. bisa ga sihh perbaiki jaringan nya, jangan cuma harga paketnya aja yang makin mahal",1,2024-01-28 17:25:43,81.16.0
Regyta Ahybu,kecewa banget gue sumpah beli paket fredom apps 12 GB tapi ngga bisa di gunain buat apa coba ngabisin pulsa aja klu nggak niat bilang dong kecewa sy dengan Indosat sekrang semakin aneh padahal sy udah setia selama 3 thn. fitur yg ditawarkan memang sih bagus tapi ujung2nya juga bikin rugi Dahlah beralih aja guys kecewa sy dengan pelayanan Indosat sekarang..,1,2024-01-28 17:25:06,82.0.3
Manja Manja,Jaringan sangat buruk,1,2024-01-28 17:24:56,82.0.2
Nanang Basuki,terus aktif improve,5,2024-01-28 17:24:41,82.0.5
Ryo Kono,Kuota IM3 sekarang pada mahal semua trus udah mahal kuotanya juga cuma dikit,2,2024-01-28 17:23:49,82.0.5
Rezky Leman,Bagus sih. dalam segi kuota tapi sayang sering gangguan sinyal'ya,1,2024-01-28 17:08:26,82.0.5
BiliBeli. Com,"IM3 gw nyesal ajg mke IM3 , jaringan ny lemot , menurut zy IM3 jaringan terparah di Indonesia,fakta",1,2024-01-28 17:06:53,
Mhd Agil Al,Sinyal ghoib kek ajg,1,2024-01-28 17:06:47,82.0.2
Hasanaaa Janah,sangat bagus,5,2024-01-28 17:06:12,82.0.5
Ipul Wahid,Bagus bgt,5,2024-01-28 17:02:46,82.0.2
Angga Ole,"Jaringan intrnet indosat benar mengecawakan saya bertahan mnjadi pengguna indosat bertahun"" Makin k sini kulitas intrnet nya semakin buruk, mnding pindah k oprator lain, bagi pengguna intrnet saya sangat TIDAK menyarankan untuk mnggunakan indosat .....",1,2024-01-28 17:02:09,
Dimz,Paket mahal tapi jaringan jelek apakah in pengaruh sahamnya yg di jual ke Singapura,1,2024-01-28 17:01:54,82.0.2
